id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-371214,2023-01-02,000001,Vente,350190.0,13,,PAS DES COLLEGIENS,1375,31170,31557,Tournefeuille,31,,,31557000BW0724,,,6,121.08,,,,,,,,,1,1,Maison,105,5,,,,,,1.325453,43.578039
2023-371215,2023-01-03,000001,Vente,102000.0,4,,RUE MONPLAISIR,1000,31490,31291,Léguevin,31,,,31291000AZ0056,,,319,,59,,,,,,,,2,2,Appartement,50,2,,,,,,1.228622,43.599944
2023-371217,2023-01-02,000001,Vente,275000.0,13,,AV DES GUIS,1490,31830,31424,Plaisance-du-Touch,31,,,31424000BW0787,,,,,,,,,,,,,0,1,Maison,65,4,S,sols,,,411.0,1.309572,43.558226
2023-371218,2023-01-05,000001,Vente,135315.0,5,,AV DES MAROTS,0788,31770,31149,Colomiers,31,,,31149000CH0223,,,25,,,,,,,,,,1,2,Appartement,41,2,,,,,,1.326778,43.602509
2023-371220,2023-01-04,000001,Vente,329000.0,24,,AV JACQUES CHIRAC,4391,31500,31555,Toulouse,31,,,31555834AT0002,,,149,,,,,,,,,,1,2,Appartement,85,4,,,,,,1.467894,43.612153
2023-371222,2023-01-03,000001,Vente,300000.0,9,,RUE DU LEVANT,0106,31880,31526,La Salvetat-Saint-Gilles,31,,,31526000AO0102,,,,,,,,,,,,,0,1,Maison,86,4,S,sols,,,924.0,,
2023-371222,2023-01-03,000001,Vente,300000.0,9,,RUE DU LEVANT,0106,31880,31526,La Salvetat-Saint-Gilles,31,,,31526000AO0102,,,,,,,,,,,,,0,1,Maison,86,4,AB,terrains a bâtir,,,600.0,,
2023-371223,2023-01-07,000001,Vente,250400.0,19,,RUE DES JUILLASSES,0109,31620,31079,Bouloc,31,,,31079000AS0054,,,2,89.22,6,,,,,,,,2,2,Appartement,94,4,,,,,,1.415245,43.782009
2023-371224,2023-01-04,000001,Vente,166000.0,38,,AV DE L HERS,4220,31500,31555,Toulouse,31,,,31555834AK0012,,,9103,23.22,,,,,,,,,1,2,Appartement,23,1,,,,,,1.481165,43.613918
2023-371224,2023-01-04,000001,Vente,166000.0,38,,AV DE L HERS,4220,31500,31555,Toulouse,31,,,31555834AK0012,,,9058,25.27,,,,,,,,,1,2,Appartement,25,1,,,,,,1.481165,43.613918
2023-371225,2023-01-03,000001,Vente,285600.0,706,,CHE DE LANGLAIS,0136,31380,31383,Montjoire,31,,,31383000AS0207,,,,,,,,,,,,,0,1,Maison,70,2,S,sols,,,1900.0,1.51509,43.777723
2023-371226,2023-01-05,000001,Vente,140000.0,162,,RUE PRIVAT,0200,31660,31066,Bessières,31,,,310660000B2838,,,106,66.82,108,,,,,,,,2,1,Maison,71,3,,,,,,1.601337,43.799534
2023-371230,2023-01-06,000001,Vente,153000.0,9,,IMP FRANCOIS AYRAL,3484,31200,31555,Toulouse,31,,,31555831AE0069,,,20,55.8,,,,,,,,,1,2,Appartement,57,3,,,,,,1.461486,43.645192
2023-371231,2023-01-03,000001,Vente,140000.0,2,,IMP DES HORTENSIAS,4261,31200,31555,Toulouse,31,,,31555830AR0039,,,49,,,,,,,,,,1,2,Appartement,57,2,,,,,,1.437896,43.630939
2023-371232,2023-01-02,000001,Vente,177500.0,27,,CHE DU GARIPUY,0206,31670,31254,Labège,31,,,31254000AO0270,,,37,,5,56.85,80,,,,,,3,2,Appartement,56,3,,,,,,1.534834,43.537083
2023-371233,2023-01-03,000001,Vente,208240.0,223,B,RTE DE REVEL,7448,31400,31555,Toulouse,31,,,31555836AR0115,,,15,,,,,,,,,,1,2,Appartement,64,3,,,,,,1.505899,43.56911
2023-371234,2023-01-09,000001,Vente,124500.0,25,,AV DE L OCCITANIE,0550,31520,31446,Ramonville-Saint-Agne,31,,,31446000AO0179,,,1429,,3429,,,,,,,,2,2,Appartement,44,2,,,,,,1.480137,43.542887
2023-371235,2023-01-06,000001,Vente,485700.0,3,,RUE TEMPONIERES,8428,31000,31555,Toulouse,31,,,31555818AB0407,,,10,56.34,14,,8,61.36,,,,,3,2,Appartement,121,5,,,,,,1.442575,43.601584
2023-371236,2023-01-03,000001,Vente,79020.0,21,,RUE BERNARD MULE,1080,31400,31555,Toulouse,31,,,31555809AC0078,,,93,17.6,,,,,,,,,1,2,Appartement,18,1,,,,,,1.457273,43.596113
